Participant ID,
Key.ctrl_l,2019-11-04 20:38:31.334404	
Key.ctrl_l,2019-11-04 20:38:31.804587	
Key.ctrl_l,2019-11-04 20:38:32.102795	
Key.ctrl_l,2019-11-04 20:38:32.398996	
Key.ctrl_l,2019-11-04 20:38:32.685576	
Key.ctrl_l,2019-11-04 20:38:32.938035	
Key.ctrl_l,2019-11-04 20:38:33.207164	
Key.ctrl_l,2019-11-04 20:38:33.441408	
Key.ctrl_l,2019-11-04 20:38:33.672601	
Key.ctrl_l,2019-11-04 20:38:33.902296	
Key.ctrl_l,2019-11-04 20:38:34.133690	
Key.ctrl_l,2019-11-04 20:38:34.365523	
Key.ctrl_l,2019-11-04 20:38:34.603826	
Key.ctrl_l,2019-11-04 20:38:34.861685	
Key.ctrl_l,2019-11-04 20:38:35.094906	
Key.ctrl_l,2019-11-04 20:38:35.339635	
Key.ctrl_l,2019-11-04 20:38:35.569249	
Key.ctrl_l,2019-11-04 20:38:35.802047	
Key.ctrl_l,2019-11-04 20:38:36.033530	
Key.ctrl_l,2019-11-04 20:38:36.282256	
Key.ctrl_l,2019-11-04 20:38:36.512905	
Key.ctrl_l,2019-11-04 20:38:36.745211	
Key.ctrl_l,2019-11-04 20:38:36.977764	
Key.ctrl_l,2019-11-04 20:38:37.211249	
Key.ctrl_l,2019-11-04 20:38:37.444142	
Key.ctrl_l,2019-11-04 20:38:37.683735	
Key.ctrl_l,2019-11-04 20:38:37.919284	
Key.ctrl_l,2019-11-04 20:38:38.150948	
Key.ctrl_l,2019-11-04 20:38:38.382902	
Key.ctrl_l,2019-11-04 20:38:38.616661	
Key.ctrl_l,2019-11-04 20:38:38.850531	
Key.ctrl_l,2019-11-04 20:38:39.083715	
Key.ctrl_l,2019-11-04 20:38:39.321912	
Key.ctrl_l,2019-11-04 20:38:39.566314	
Key.ctrl_l,2019-11-04 20:38:39.809242	
Key.ctrl_l,2019-11-04 20:38:40.055542	
Key.ctrl_l,2019-11-04 20:38:40.289083	
