Participant ID,
'v',2019-11-08 17:14:34.265218	
'e',2019-11-08 17:14:34.394639	
Key.space,2019-11-08 17:14:34.521572	
'a',2019-11-08 17:14:34.681784	
'n',2019-11-08 17:14:34.737569	
'y',2019-11-08 17:14:34.940854	
Key.space,2019-11-08 17:14:35.091149	
'f',2019-11-08 17:14:35.495346	
'u',2019-11-08 17:14:35.576849	
'n',2019-11-08 17:14:35.765868	
Key.space,2019-11-08 17:14:35.897473	
'p',2019-11-08 17:14:36.195660	
'l',2019-11-08 17:14:36.376680	
'a',2019-11-08 17:14:36.542380	
'n',2019-11-08 17:14:36.666835	
's',2019-11-08 17:14:36.839899	
Key.shift,2019-11-08 17:14:37.197526	
Key.shift,2019-11-08 17:14:37.715357	
Key.shift,2019-11-08 17:14:37.750434	
Key.shift,2019-11-08 17:14:37.784299	
Key.shift,2019-11-08 17:14:37.818637	
Key.shift,2019-11-08 17:14:37.853104	
Key.shift,2019-11-08 17:14:37.886939	
Key.shift,2019-11-08 17:14:37.921628	
Key.shift,2019-11-08 17:14:37.955372	
Key.shift,2019-11-08 17:14:37.990170	
Key.shift,2019-11-08 17:14:38.024494	
Key.shift,2019-11-08 17:14:38.058203	
Key.shift,2019-11-08 17:14:38.092437	
Key.shift,2019-11-08 17:14:38.127307	
Key.shift,2019-11-08 17:14:38.159938	
'/',2019-11-08 17:14:38.163810	
Key.enter,2019-11-08 17:14:39.610766	
Key.ctrl_l,2019-11-08 17:15:43.872625	
Key.caps_lock,2019-11-08 17:16:20.282271	
'w',2019-11-08 17:16:20.560299	
Key.caps_lock,2019-11-08 17:16:20.678381	
'h',2019-11-08 17:16:21.067904	
'a',2019-11-08 17:16:21.181710	
't',2019-11-08 17:16:21.279791	
's',2019-11-08 17:16:21.418597	
Key.backspace,2019-11-08 17:16:22.066055	
"'",2019-11-08 17:16:22.408728	
's',2019-11-08 17:16:22.504708	
Key.space,2019-11-08 17:16:22.956983	
'3',2019-11-08 17:16:26.946525	
'9',2019-11-08 17:16:27.063826	
'5',2019-11-08 17:16:27.403804	
Key.space,2019-11-08 17:16:30.604071	
'd',2019-11-08 17:16:30.728056	
'i',2019-11-08 17:16:30.831533	
'v',2019-11-08 17:16:31.141589	
'i',2019-11-08 17:16:31.262648	
'd',2019-11-08 17:16:31.516739	
'e',2019-11-08 17:16:31.760307	
'd',2019-11-08 17:16:31.936321	
Key.space,2019-11-08 17:16:32.102811	
'b',2019-11-08 17:16:32.827974	
'y',2019-11-08 17:16:33.040269	
Key.space,2019-11-08 17:16:33.187291	
'7',2019-11-08 17:16:33.661780	
Key.shift,2019-11-08 17:16:34.706191	
'/',2019-11-08 17:16:35.044070	
Key.enter,2019-11-08 17:16:40.758950	
Key.ctrl_l,2019-11-08 17:17:05.179271	
Key.esc,2019-11-08 17:17:29.925638	
