Participant ID,
'g',2019-11-11 23:11:17.153736	
'i',2019-11-11 23:11:17.285380	
't',2019-11-11 23:11:17.369735	
Key.backspace,2019-11-11 23:11:18.315990	
Key.backspace,2019-11-11 23:11:18.469851	
Key.backspace,2019-11-11 23:11:18.623607	
Key.backspace,2019-11-11 23:11:18.764342	
Key.backspace,2019-11-11 23:11:18.887987	
'a',2019-11-11 23:11:19.212318	
'c',2019-11-11 23:11:19.461534	
Key.backspace,2019-11-11 23:11:20.018956	
Key.backspace,2019-11-11 23:11:20.167632	
Key.backspace,2019-11-11 23:11:20.278683	
'g',2019-11-11 23:11:27.364304	
't',2019-11-11 23:11:27.567281	
Key.backspace,2019-11-11 23:11:27.937025	
't',2019-11-11 23:11:28.293879	
Key.backspace,2019-11-11 23:11:28.588633	
'i',2019-11-11 23:11:28.857322	
't',2019-11-11 23:11:28.960616	
'u',2019-11-11 23:11:29.930845	
Key.backspace,2019-11-11 23:11:30.542403	
'h',2019-11-11 23:11:30.850616	
'u',2019-11-11 23:11:30.943566	
'b',2019-11-11 23:11:31.159962	
Key.delete,2019-11-11 23:15:51.617703	
Key.up,2019-11-11 23:22:09.760643	
Key.enter,2019-11-11 23:22:26.814847	
Key.ctrl_r,2019-11-11 23:23:06.984799	
Key.right,2019-11-11 23:23:07.394541	
Key.right,2019-11-11 23:23:07.559023	
Key.right,2019-11-11 23:23:07.700088	
Key.right,2019-11-11 23:23:08.351489	
Key.right,2019-11-11 23:23:08.508860	
Key.right,2019-11-11 23:23:08.793084	
Key.right,2019-11-11 23:23:08.982325	
Key.right,2019-11-11 23:23:09.155599	
Key.right,2019-11-11 23:23:09.424469	
Key.right,2019-11-11 23:23:09.590063	
Key.right,2019-11-11 23:23:09.738297	
Key.right,2019-11-11 23:23:09.928431	
Key.right,2019-11-11 23:23:10.125836	
Key.right,2019-11-11 23:23:10.306872	
Key.right,2019-11-11 23:23:10.479859	
Key.right,2019-11-11 23:23:10.637488	
Key.right,2019-11-11 23:23:10.794480	
Key.backspace,2019-11-11 23:23:13.347990	
Key.backspace,2019-11-11 23:23:13.459033	
Key.backspace,2019-11-11 23:23:14.407156	
'\\',2019-11-11 23:23:16.291787	
'n',2019-11-11 23:23:16.706100	
Key.ctrl_l,2019-11-11 23:23:18.519358	
's',2019-11-11 23:23:18.950189	
Key.enter,2019-11-11 23:23:25.130388	
'h',2019-11-11 23:23:37.510321	
