Participant ID,
<175>,2019-11-03 16:40:08.069811	
<175>,2019-11-03 16:40:08.210404	
<175>,2019-11-03 16:40:08.364245	
<175>,2019-11-03 16:40:08.504874	
<175>,2019-11-03 16:40:08.661083	
<175>,2019-11-03 16:40:08.801826	
<175>,2019-11-03 16:40:08.942417	
<175>,2019-11-03 16:40:09.098472	
<175>,2019-11-03 16:40:09.207977	
Key.ctrl_l,2019-11-03 16:40:09.697432	
Key.ctrl_l,2019-11-03 16:40:10.310530	
Key.ctrl_l,2019-11-03 16:40:10.650976	
Key.ctrl_l,2019-11-03 16:40:11.018803	
Key.ctrl_l,2019-11-03 16:40:11.338101	
Key.ctrl_l,2019-11-03 16:40:11.654032	
Key.ctrl_l,2019-11-03 16:40:11.989630	
Key.ctrl_l,2019-11-03 16:40:12.334543	
Key.ctrl_l,2019-11-03 16:40:12.674016	
Key.ctrl_l,2019-11-03 16:40:13.003294	
<175>,2019-11-03 16:40:13.337784	
<175>,2019-11-03 16:40:13.354930	
<175>,2019-11-03 16:40:13.354930	
<175>,2019-11-03 16:40:13.370552	
<175>,2019-11-03 16:40:13.386174	
<175>,2019-11-03 16:40:13.651916	
Key.ctrl_l,2019-11-03 16:40:14.042305	
Key.ctrl_l,2019-11-03 16:40:14.425016	
Key.ctrl_l,2019-11-03 16:40:14.740654	
Key.ctrl_l,2019-11-03 16:40:15.076964	
Key.ctrl_l,2019-11-03 16:40:15.405773	
Key.ctrl_l,2019-11-03 16:40:15.714562	
Key.ctrl_l,2019-11-03 16:40:16.071622	
Key.ctrl_l,2019-11-03 16:40:16.385392	
Key.ctrl_l,2019-11-03 16:40:16.718625	
Key.ctrl_l,2019-11-03 16:40:17.051314	
<174>,2019-11-03 16:40:17.364091	
<174>,2019-11-03 16:40:17.364091	
<174>,2019-11-03 16:40:17.390727	
<174>,2019-11-03 16:40:17.838864	
<174>,2019-11-03 16:40:17.862877	
<174>,2019-11-03 16:40:17.890874	
<174>,2019-11-03 16:40:17.916625	
<174>,2019-11-03 16:40:17.940818	
<174>,2019-11-03 16:40:17.964638	
<174>,2019-11-03 16:40:17.992632	
<174>,2019-11-03 16:40:18.473238	
Key.esc,2019-11-03 16:40:26.399344	
