Participant ID,CCDemo9
'h',2019-11-04 21:53:00.658552	
'e',2019-11-04 21:53:00.791271	
'l',2019-11-04 21:53:00.999370	
'l',2019-11-04 21:53:01.119190	
'o',2019-11-04 21:53:01.291208	
Key.enter,2019-11-04 21:53:01.623609	
Key.shift_r,2019-11-04 21:53:32.169573	
'h',2019-11-04 21:53:32.301389	
'o',2019-11-04 21:53:32.472586	
'w',2019-11-04 21:53:32.727673	
Key.space,2019-11-04 21:53:32.871677	
'a',2019-11-04 21:53:32.935860	
'r',2019-11-04 21:53:33.133153	
'e',2019-11-04 21:53:33.239177	
Key.space,2019-11-04 21:53:33.347198	
'y',2019-11-04 21:53:33.442359	
'o',2019-11-04 21:53:33.573582	
'u',2019-11-04 21:53:33.674002	
Key.space,2019-11-04 21:53:33.811729	
'd',2019-11-04 21:53:33.974504	
'o',2019-11-04 21:53:34.087142	
'i',2019-11-04 21:53:34.240545	
'n',2019-11-04 21:53:34.429350	
'g',2019-11-04 21:53:34.507618	
Key.space,2019-11-04 21:53:34.593911	
't',2019-11-04 21:53:34.882182	
'o',2019-11-04 21:53:35.002215	
'd',2019-11-04 21:53:35.114373	
'a',2019-11-04 21:53:35.311580	
'y',2019-11-04 21:53:35.395401	
Key.shift_r,2019-11-04 21:53:35.921486	
'/',2019-11-04 21:53:36.112089	
Key.enter,2019-11-04 21:53:36.749145	
Key.enter,2019-11-04 21:57:27.648241	
Key.shift_r,2019-11-04 21:57:29.188878	
't',2019-11-04 21:57:29.572519	
'h',2019-11-04 21:57:29.872862	
'e',2019-11-04 21:57:29.941425	
'r',2019-11-04 21:57:30.072965	
'e',2019-11-04 21:57:30.179852	
Key.space,2019-11-04 21:57:30.227841	
'a',2019-11-04 21:57:30.627180	
'r',2019-11-04 21:57:30.827565	
'e',2019-11-04 21:57:30.949294	
Key.space,2019-11-04 21:57:31.065200	
'm',2019-11-04 21:57:31.248041	
'a',2019-11-04 21:57:31.374625	
'n',2019-11-04 21:57:31.483938	
'y',2019-11-04 21:57:31.684172	
Key.space,2019-11-04 21:57:31.900021	
'i',2019-11-04 21:57:36.381128	
'o',2019-11-04 21:57:36.549810	
Key.backspace,2019-11-04 21:57:36.903561	
'd',2019-11-04 21:57:37.034741	
'i',2019-11-04 21:57:37.154981	
'o',2019-11-04 21:57:37.314961	
's',2019-11-04 21:57:38.310099	
'y',2019-11-04 21:57:38.425722	
'n',2019-11-04 21:57:38.624127	
'c',2019-11-04 21:57:38.690358	
'r',2019-11-04 21:57:38.892476	
'a',2019-11-04 21:57:39.088659	
't',2019-11-04 21:57:39.293237	
'i',2019-11-04 21:57:39.445415	
'c',2019-11-04 21:57:39.521598	
Key.space,2019-11-04 21:57:39.642336	
't',2019-11-04 21:57:40.339503	
'y',2019-11-04 21:57:40.504677	
'p',2019-11-04 21:57:40.575256	
'i',2019-11-04 21:57:40.728639	
'n',2019-11-04 21:57:40.914151	
'g',2019-11-04 21:57:40.972757	
Key.space,2019-11-04 21:57:41.490324	
's',2019-11-04 21:57:41.643513	
't',2019-11-04 21:57:41.890807	
'y',2019-11-04 21:57:42.059461	
'l',2019-11-04 21:57:42.153615	
'e',2019-11-04 21:57:42.265609	
's',2019-11-04 21:57:42.492988	
Key.enter,2019-11-04 21:57:42.662224	
'c',2019-11-04 21:58:57.313419	
'h',2019-11-04 21:58:57.437422	
'a',2019-11-04 21:58:57.525417	
't',2019-11-04 21:58:57.737417	
'p',2019-11-04 21:58:57.841427	
'l',2019-11-04 21:58:58.013420	
'a',2019-11-04 21:58:58.093413	
't',2019-11-04 21:58:58.532629	
'.',2019-11-04 21:58:58.744617	
'c',2019-11-04 21:58:58.860616	
'o',2019-11-04 21:58:58.996616	
'm',2019-11-04 21:58:59.188667	
Key.enter,2019-11-04 21:58:59.552702	
Key.backspace,2019-11-04 21:59:32.887047	
Key.shift_r,2019-11-04 21:59:33.490868	
Key.shift_r,2019-11-04 21:59:33.959041	
Key.shift_r,2019-11-04 21:59:33.986862	
Key.shift_r,2019-11-04 21:59:34.010863	
Key.shift_r,2019-11-04 21:59:34.038872	
Key.shift_r,2019-11-04 21:59:34.063047	
Key.shift_r,2019-11-04 21:59:34.090868	
Key.shift_r,2019-11-04 21:59:34.114866	
Key.shift_r,2019-11-04 21:59:34.138864	
Key.shift_r,2019-11-04 21:59:34.166863	
Key.shift_r,2019-11-04 21:59:34.190865	
Key.shift_r,2019-11-04 21:59:34.218868	
'm',2019-11-04 21:59:34.242860	
'i',2019-11-04 21:59:34.550908	
'n',2019-11-04 21:59:34.747043	
'd',2019-11-04 21:59:34.959041	
'w',2019-11-04 21:59:35.183042	
