Participant ID,CCP3-A-O
Key.shift,2019-11-08 16:13:03.752128	
Key.shift,2019-11-08 16:13:03.786458	
Key.shift,2019-11-08 16:13:03.820219	
Key.shift,2019-11-08 16:13:03.854195	
Key.shift,2019-11-08 16:13:03.888953	
Key.shift,2019-11-08 16:13:03.923482	
Key.shift,2019-11-08 16:13:03.957580	
Key.shift,2019-11-08 16:13:03.991695	
Key.shift,2019-11-08 16:13:04.026159	
Key.shift,2019-11-08 16:13:04.059872	
Key.shift,2019-11-08 16:13:04.094560	
Key.shift,2019-11-08 16:13:04.128825	
Key.shift,2019-11-08 16:13:04.163332	
Key.shift,2019-11-08 16:13:04.196001	
Key.shift,2019-11-08 16:13:04.231037	
Key.shift,2019-11-08 16:13:04.265484	
Key.shift,2019-11-08 16:13:04.299534	
Key.shift,2019-11-08 16:13:04.334412	
Key.shift,2019-11-08 16:13:04.368563	
Key.shift,2019-11-08 16:13:04.402751	
Key.shift,2019-11-08 16:13:04.436592	
Key.shift,2019-11-08 16:13:04.471411	
Key.shift,2019-11-08 16:13:04.505490	
Key.shift,2019-11-08 16:13:04.539651	
Key.shift,2019-11-08 16:13:04.573571	
Key.shift,2019-11-08 16:13:04.608228	
Key.shift,2019-11-08 16:13:04.642098	
Key.shift,2019-11-08 16:13:04.676384	
Key.shift,2019-11-08 16:13:04.711069	
Key.shift,2019-11-08 16:13:04.745356	
'a',2019-11-08 16:13:04.775046	
'r',2019-11-08 16:13:05.114596	
'e',2019-11-08 16:13:05.257370	
Key.space,2019-11-08 16:13:06.140816	
Key.backspace,2019-11-08 16:13:07.053636	
Key.backspace,2019-11-08 16:13:07.271784	
Key.backspace,2019-11-08 16:13:07.422108	
Key.backspace,2019-11-08 16:13:07.579639	
Key.backspace,2019-11-08 16:13:07.746826	
Key.backspace,2019-11-08 16:13:07.838295	
's',2019-11-08 16:13:09.360239	
'u',2019-11-08 16:13:09.592010	
'p',2019-11-08 16:13:09.799124	
'r',2019-11-08 16:13:10.037234	
'i',2019-11-08 16:13:10.171215	
's',2019-11-08 16:13:10.461239	
'e',2019-11-08 16:13:10.620034	
'd',2019-11-08 16:13:10.853474	
Key.space,2019-11-08 16:13:10.965832	
'a',2019-11-08 16:13:11.107506	
'b',2019-11-08 16:13:11.685092	
'o',2019-11-08 16:13:11.948924	
'u',2019-11-08 16:13:12.042667	
't',2019-11-08 16:13:12.168154	
Key.space,2019-11-08 16:13:12.316049	
Key.backspace,2019-11-08 16:13:12.733059	
Key.backspace,2019-11-08 16:13:12.903316	
Key.backspace,2019-11-08 16:13:13.043360	
Key.backspace,2019-11-08 16:13:13.183286	
Key.backspace,2019-11-08 16:13:13.299421	
Key.backspace,2019-11-08 16:13:13.428615	
Key.backspace,2019-11-08 16:13:13.551769	
Key.backspace,2019-11-08 16:13:13.674835	
Key.backspace,2019-11-08 16:13:13.800983	
Key.backspace,2019-11-08 16:13:14.035414	
Key.backspace,2019-11-08 16:13:14.175657	
Key.backspace,2019-11-08 16:13:14.296441	
Key.backspace,2019-11-08 16:13:14.414385	
Key.backspace,2019-11-08 16:13:14.548059	
Key.backspace,2019-11-08 16:13:14.690356	
Key.backspace,2019-11-08 16:13:14.828023	
'w',2019-11-08 16:13:15.216724	
'h',2019-11-08 16:13:15.327906	
'a',2019-11-08 16:13:15.445848	
't',2019-11-08 16:13:15.526262	
Key.space,2019-11-08 16:13:15.629936	
'd',2019-11-08 16:13:15.790543	
'o',2019-11-08 16:13:15.870090	
Key.space,2019-11-08 16:13:16.043188	
'y',2019-11-08 16:13:16.203773	
'o',2019-11-08 16:13:16.369130	
'u',2019-11-08 16:13:16.502559	
Key.space,2019-11-08 16:13:16.650902	
'm',2019-11-08 16:13:16.864139	
'e',2019-11-08 16:13:16.981628	
'a',2019-11-08 16:13:17.091801	
'n',2019-11-08 16:13:17.169530	
Key.shift,2019-11-08 16:13:17.996870	
'/',2019-11-08 16:13:18.359095	
Key.enter,2019-11-08 16:13:18.647665	
'w',2019-11-08 16:13:51.883830	
'h',2019-11-08 16:13:51.971906	
'y',2019-11-08 16:13:52.141825	
Key.space,2019-11-08 16:13:52.237748	
'd',2019-11-08 16:13:52.406038	
'i',2019-11-08 16:13:52.469283	
'd',2019-11-08 16:13:52.554821	
Key.space,2019-11-08 16:13:52.641867	
'y',2019-11-08 16:13:52.820643	
'o',2019-11-08 16:13:52.956008	
'u',2019-11-08 16:13:53.041562	
Key.space,2019-11-08 16:13:53.112498	
't',2019-11-08 16:13:53.241236	
'h',2019-11-08 16:13:53.296927	
'i',2019-11-08 16:13:53.421383	
'n',2019-11-08 16:13:53.630912	
