Participant ID,CCP1-A-I
's',2019-11-08 15:11:43.985348	
'u',2019-11-08 15:11:44.168388	
'r',2019-11-08 15:11:44.389710	
'e',2019-11-08 15:11:44.539434	
Key.space,2019-11-08 15:11:44.733008	
'y',2019-11-08 15:11:45.364566	
'e',2019-11-08 15:11:45.534203	
't',2019-11-08 15:11:45.739431	
",",2019-11-08 15:11:47.649518	Key.space,2019-11-08 15:11:48.359461	
'm',2019-11-08 15:11:50.366797	
'a',2019-11-08 15:11:50.670262	
'y',2019-11-08 15:11:50.940453	
'b',2019-11-08 15:11:51.292594	
'e',2019-11-08 15:11:51.487767	
Key.space,2019-11-08 15:11:52.640860	
'g',2019-11-08 15:11:53.332701	
'o',2019-11-08 15:11:53.410829	
'i',2019-11-08 15:11:53.504684	
'n',2019-11-08 15:11:53.851276	
'g',2019-11-08 15:11:54.067617	
Key.space,2019-11-08 15:11:54.547378	
Key.backspace,2019-11-08 15:11:55.038885	
Key.backspace,2019-11-08 15:11:55.557226	
Key.backspace,2019-11-08 15:11:55.591014	
Key.backspace,2019-11-08 15:11:55.625600	
Key.backspace,2019-11-08 15:11:55.659783	
Key.backspace,2019-11-08 15:11:55.694227	
Key.backspace,2019-11-08 15:11:55.727916	
Key.backspace,2019-11-08 15:11:55.762081	
Key.backspace,2019-11-08 15:11:55.795972	
Key.backspace,2019-11-08 15:11:55.831276	
Key.backspace,2019-11-08 15:11:55.863960	
Key.backspace,2019-11-08 15:11:55.898465	
Key.backspace,2019-11-08 15:11:55.933025	
Key.backspace,2019-11-08 15:11:55.967949	
Key.backspace,2019-11-08 15:11:56.001924	
Key.backspace,2019-11-08 15:11:56.035604	
Key.backspace,2019-11-08 15:11:56.070091	
'y',2019-11-08 15:11:57.500818	
'e',2019-11-08 15:11:57.669369	
't',2019-11-08 15:11:57.859566	
",",2019-11-08 15:11:59.837220	Key.space,2019-11-08 15:12:00.652911	
'm',2019-11-08 15:12:00.876542	
'a',2019-11-08 15:12:01.080515	
'y',2019-11-08 15:12:01.287074	
'b',2019-11-08 15:12:01.534356	
'e',2019-11-08 15:12:01.710411	
Key.space,2019-11-08 15:12:01.967179	
'g',2019-11-08 15:12:02.242348	
'o',2019-11-08 15:12:02.461840	
'i',2019-11-08 15:12:02.506890	
'n',2019-11-08 15:12:02.949133	
Key.backspace,2019-11-08 15:12:03.481889	
Key.backspace,2019-11-08 15:12:04.000097	
Key.backspace,2019-11-08 15:12:04.033478	
Key.backspace,2019-11-08 15:12:04.068474	
Key.backspace,2019-11-08 15:12:04.102354	
Key.backspace,2019-11-08 15:12:04.136571	
Key.backspace,2019-11-08 15:12:04.171158	
Key.backspace,2019-11-08 15:12:04.204684	
Key.backspace,2019-11-08 15:12:04.239150	
Key.backspace,2019-11-08 15:12:04.273974	
Key.backspace,2019-11-08 15:12:04.307311	
Key.backspace,2019-11-08 15:12:04.341531	
Key.backspace,2019-11-08 15:12:04.376407	
't',2019-11-08 15:12:05.264838	
