Participant ID,
Key.ctrl_l,2019-11-05 17:19:04.089992	
Key.ctrl_l,2019-11-05 17:19:08.880116	
Key.ctrl_l,2019-11-05 17:19:17.503080	
'c',2019-11-05 17:19:17.841153	
Key.ctrl_l,2019-11-05 17:19:20.127781	
'v',2019-11-05 17:19:20.364433	
Key.enter,2019-11-05 17:19:20.676247	
Key.ctrl_l,2019-11-05 17:19:25.332266	
'c',2019-11-05 17:19:25.675146	
Key.ctrl_l,2019-11-05 17:19:28.959544	
'v',2019-11-05 17:19:29.195478	
Key.enter,2019-11-05 17:19:29.492780	
Key.ctrl_l,2019-11-05 17:19:38.450976	
'c',2019-11-05 17:19:38.805877	
Key.ctrl_l,2019-11-05 17:19:41.538258	
'v',2019-11-05 17:19:41.832799	
Key.enter,2019-11-05 17:19:42.108690	
Key.ctrl_l,2019-11-05 17:19:47.046800	
'c',2019-11-05 17:19:47.388514	
Key.ctrl_l,2019-11-05 17:19:50.298870	
'v',2019-11-05 17:19:50.532196	
Key.enter,2019-11-05 17:19:50.844512	
Key.ctrl_l,2019-11-05 17:20:03.383359	
'c',2019-11-05 17:20:03.725231	
Key.ctrl_l,2019-11-05 17:20:06.227591	
'v',2019-11-05 17:20:06.462775	
Key.enter,2019-11-05 17:20:06.654057	
Key.ctrl_l,2019-11-05 17:20:13.345057	
'c',2019-11-05 17:20:13.686263	
Key.ctrl_l,2019-11-05 17:20:16.890245	
'v',2019-11-05 17:20:17.137674	
Key.enter,2019-11-05 17:20:17.421456	
Key.ctrl_l,2019-11-05 17:20:35.194470	
'c',2019-11-05 17:20:35.551668	
Key.ctrl_l,2019-11-05 17:20:38.481123	
'v',2019-11-05 17:20:38.720368	
Key.enter,2019-11-05 17:20:39.090783	
Key.ctrl_l,2019-11-05 17:20:43.704212	
'c',2019-11-05 17:20:44.048758	
Key.ctrl_l,2019-11-05 17:20:47.708674	
'v',2019-11-05 17:20:47.945017	
Key.enter,2019-11-05 17:20:48.980493	
Key.ctrl_l,2019-11-05 17:21:00.765857	
'c',2019-11-05 17:21:01.107839	
Key.ctrl_l,2019-11-05 17:21:03.807280	
'v',2019-11-05 17:21:04.040790	
Key.enter,2019-11-05 17:21:04.554791	
's',2019-11-05 17:21:26.944572	
'o',2019-11-05 17:21:27.167895	
'r',2019-11-05 17:21:27.547119	
'r',2019-11-05 17:21:27.728138	
'y',2019-11-05 17:21:27.860644	
Key.enter,2019-11-05 17:21:28.780234	
Key.ctrl_l,2019-11-05 17:22:17.670010	
'c',2019-11-05 17:22:18.026502	
Key.ctrl_l,2019-11-05 17:22:20.805961	
'v',2019-11-05 17:22:21.039447	
Key.enter,2019-11-05 17:22:21.453738	
Key.ctrl_l,2019-11-05 17:22:24.583138	
'c',2019-11-05 17:22:24.818534	
Key.ctrl_l,2019-11-05 17:22:27.912864	
'v',2019-11-05 17:22:28.192249	
Key.enter,2019-11-05 17:22:28.675328	
Key.ctrl_l,2019-11-05 17:22:44.114855	
'c',2019-11-05 17:22:44.458560	
Key.ctrl_l,2019-11-05 17:22:47.066729	
'v',2019-11-05 17:22:47.322794	
Key.enter,2019-11-05 17:22:47.744927	
Key.ctrl_l,2019-11-05 17:22:55.840274	
'c',2019-11-05 17:22:56.198332	
Key.ctrl_l,2019-11-05 17:22:59.957438	
'v',2019-11-05 17:23:00.213187	
Key.enter,2019-11-05 17:23:00.553523	
's',2019-11-05 17:23:36.785356	
'o',2019-11-05 17:23:37.100893	
'r',2019-11-05 17:23:37.364382	
'r',2019-11-05 17:23:37.498331	
'y',2019-11-05 17:23:37.642223	
Key.enter,2019-11-05 17:23:38.002201	
<255>,2019-11-05 17:23:43.341747	
Key.ctrl_l,2019-11-05 17:23:43.516804	
'c',2019-11-05 17:23:43.874367	
Key.ctrl_l,2019-11-05 17:23:46.686106	
'v',2019-11-05 17:23:46.919492	
Key.enter,2019-11-05 17:23:47.154719	
Key.ctrl_l,2019-11-05 17:24:00.432524	
'c',2019-11-05 17:24:00.772970	
Key.ctrl_l,2019-11-05 17:24:03.396793	
'v',2019-11-05 17:24:03.629070	
't',2019-11-05 17:24:06.954135	
'h',2019-11-05 17:24:07.118373	
Key.caps_lock,2019-11-05 17:24:07.276101	
'a',2019-11-05 17:24:09.036077	
Key.backspace,2019-11-05 17:24:10.185941	
Key.caps_lock,2019-11-05 17:24:10.355648	
'a',2019-11-05 17:24:10.529653	
Key.enter,2019-11-05 17:24:10.813650	
Key.ctrl_l,2019-11-05 17:24:15.811601	
'c',2019-11-05 17:24:16.166346	
Key.ctrl_l,2019-11-05 17:24:19.376332	
'v',2019-11-05 17:24:19.766677	
Key.enter,2019-11-05 17:24:20.988766	
Key.ctrl_l,2019-11-05 17:24:41.143179	
