Participant ID,
Key.shift,2019-11-06 22:16:15.948977	
'H',2019-11-06 22:16:16.062032	
'E',2019-11-06 22:16:16.235697	
'L',2019-11-06 22:16:16.351598	
'L',2019-11-06 22:16:16.481619	
'O',2019-11-06 22:16:16.625720	
Key.enter,2019-11-06 22:16:16.903186	
Key.shift,2019-11-06 22:16:25.614002	
'V',2019-11-06 22:16:25.790620	
Key.backspace,2019-11-06 22:16:26.789897	
Key.ctrl_l,2019-11-06 22:16:27.049647	
'C',2019-11-06 22:16:27.419768	
Key.backspace,2019-11-06 22:16:27.866418	
Key.ctrl_l,2019-11-06 22:16:28.027140	
'V',2019-11-06 22:16:28.283031	
Key.enter,2019-11-06 22:16:28.991062	
Key.ctrl_l,2019-11-06 22:16:34.449090	
'C',2019-11-06 22:16:34.796581	
Key.ctrl_l,2019-11-06 22:16:36.887800	
'V',2019-11-06 22:16:37.124162	
Key.enter,2019-11-06 22:16:37.865015	
Key.ctrl_l,2019-11-06 22:17:05.097972	
'C',2019-11-06 22:17:05.457242	
Key.ctrl_l,2019-11-06 22:17:08.284576	
'V',2019-11-06 22:17:08.520554	
Key.enter,2019-11-06 22:17:09.082422	
Key.ctrl_l,2019-11-06 22:17:12.998897	
'C',2019-11-06 22:17:13.312934	
Key.ctrl_l,2019-11-06 22:17:16.343216	
'V',2019-11-06 22:17:16.574589	
Key.enter,2019-11-06 22:17:17.131139	
Key.ctrl_l,2019-11-06 22:18:25.177258	
'C',2019-11-06 22:18:25.542816	
Key.ctrl_l,2019-11-06 22:18:28.341858	
'V',2019-11-06 22:18:28.571907	
Key.enter,2019-11-06 22:18:29.138912	
Key.ctrl_l,2019-11-06 22:18:34.597137	
'C',2019-11-06 22:18:34.936144	
Key.ctrl_l,2019-11-06 22:18:37.234903	
'V',2019-11-06 22:18:37.536307	
Key.enter,2019-11-06 22:18:39.100726	
Key.esc,2019-11-06 22:22:07.123522	
