Participant ID,
Key.shift_r,2019-11-08 17:12:12.449462	
'H',2019-11-08 17:12:12.530610	
Key.backspace,2019-11-08 17:12:14.469120	
Key.shift_r,2019-11-08 17:12:15.287320	
'H',2019-11-08 17:12:15.417026	
Key.backspace,2019-11-08 17:12:16.672237	
'H',2019-11-08 17:12:19.448851	
'U',2019-11-08 17:12:19.575810	
Key.backspace,2019-11-08 17:12:20.721871	
Key.backspace,2019-11-08 17:12:20.889916	
Key.backspace,2019-11-08 17:12:21.025022	
Key.caps_lock,2019-11-08 17:12:21.822104	
'H',2019-11-08 17:12:21.994234	
'I',2019-11-08 17:12:22.089139	
Key.enter,2019-11-08 17:12:22.428119	
Key.shift_r,2019-11-08 17:12:25.617910	
'H',2019-11-08 17:12:25.730285	
'E',2019-11-08 17:12:25.972816	
'L',2019-11-08 17:12:26.073864	
'L',2019-11-08 17:12:26.210087	
'O',2019-11-08 17:12:26.332889	
Key.space,2019-11-08 17:12:26.989131	
'T',2019-11-08 17:12:27.133646	
'H',2019-11-08 17:12:27.230904	
'E',2019-11-08 17:12:27.309937	
'R',2019-11-08 17:12:27.370216	
'E',2019-11-08 17:12:27.456466	
'.',2019-11-08 17:12:27.747975	
Key.enter,2019-11-08 17:12:28.025326	
Key.ctrl_l,2019-11-08 17:12:46.502792	
'C',2019-11-08 17:12:46.934386	
Key.ctrl_l,2019-11-08 17:12:50.438304	
'V',2019-11-08 17:12:50.675223	
Key.enter,2019-11-08 17:12:51.375447	
Key.ctrl_l,2019-11-08 17:12:58.096044	
'C',2019-11-08 17:12:58.438024	
Key.ctrl_l,2019-11-08 17:13:01.943451	
'V',2019-11-08 17:13:02.198200	
Key.enter,2019-11-08 17:13:04.185239	
Key.ctrl_l,2019-11-08 17:13:23.258871	
Key.ctrl_l,2019-11-08 17:13:42.694357	
'C',2019-11-08 17:13:43.036630	
Key.ctrl_l,2019-11-08 17:13:45.905196	
'V',2019-11-08 17:13:46.359511	
Key.enter,2019-11-08 17:13:47.124122	
Key.ctrl_l,2019-11-08 17:13:52.308866	
'C',2019-11-08 17:13:52.651487	
Key.ctrl_l,2019-11-08 17:13:58.113526	
Key.ctrl_l,2019-11-08 17:13:58.631489	
Key.ctrl_l,2019-11-08 17:13:58.860929	
Key.ctrl_l,2019-11-08 17:13:59.091515	
'V',2019-11-08 17:13:59.322244	
Key.ctrl_l,2019-11-08 17:14:00.329286	
'V',2019-11-08 17:14:00.560630	
Key.backspace,2019-11-08 17:14:01.515362	
Key.backspace,2019-11-08 17:14:02.032936	
Key.backspace,2019-11-08 17:14:02.067246	
Key.backspace,2019-11-08 17:14:02.101664	
Key.backspace,2019-11-08 17:14:02.136393	
Key.backspace,2019-11-08 17:14:02.170720	
Key.backspace,2019-11-08 17:14:02.204905	
Key.backspace,2019-11-08 17:14:02.239281	
Key.backspace,2019-11-08 17:14:02.273324	
Key.backspace,2019-11-08 17:14:02.307143	
Key.backspace,2019-11-08 17:14:02.341126	
Key.backspace,2019-11-08 17:14:02.376232	
Key.backspace,2019-11-08 17:14:02.409490	
Key.backspace,2019-11-08 17:14:02.443888	
Key.backspace,2019-11-08 17:14:02.478927	
Key.backspace,2019-11-08 17:14:02.512869	
Key.backspace,2019-11-08 17:14:02.547329	
Key.backspace,2019-11-08 17:14:02.581298	
Key.backspace,2019-11-08 17:14:02.614712	
Key.backspace,2019-11-08 17:14:02.649209	
Key.backspace,2019-11-08 17:14:02.683881	
