Participant ID,CCDemo15
Key.shift_r,2019-11-06 22:16:07.234724	
'h',2019-11-06 22:16:07.370232	
'e',2019-11-06 22:16:08.462513	
'l',2019-11-06 22:16:09.051047	
'l',2019-11-06 22:16:09.167155	
'o',2019-11-06 22:16:09.324620	
Key.enter,2019-11-06 22:16:13.458698	
Key.ctrl_l,2019-11-06 22:16:45.273060	
Key.shift_r,2019-11-06 22:16:52.479295	
'h',2019-11-06 22:16:52.615786	
'o',2019-11-06 22:16:52.796620	
'w',2019-11-06 22:16:52.870444	
Key.space,2019-11-06 22:16:53.057020	
'a',2019-11-06 22:16:53.198059	
'r',2019-11-06 22:16:53.377747	
'e',2019-11-06 22:16:53.520948	
Key.space,2019-11-06 22:16:53.618335	
'y',2019-11-06 22:16:58.635499	
'o',2019-11-06 22:16:58.728490	
'u',2019-11-06 22:16:58.814828	
'd',2019-11-06 22:16:59.064110	
Key.backspace,2019-11-06 22:16:59.436160	
Key.space,2019-11-06 22:16:59.727624	
'd',2019-11-06 22:16:59.840039	
'o',2019-11-06 22:16:59.949055	
'i',2019-11-06 22:17:00.095759	
'n',2019-11-06 22:17:00.310457	
'g',2019-11-06 22:17:00.396345	
Key.shift_r,2019-11-06 22:17:01.215141	
'/',2019-11-06 22:17:01.384164	
Key.enter,2019-11-06 22:17:01.546888	
Key.ctrl_l,2019-11-06 22:17:21.458897	
'c',2019-11-06 22:17:21.815067	
Key.shift_r,2019-11-06 22:17:25.255787	
'i',2019-11-06 22:17:25.472213	
"'",2019-11-06 22:17:25.789336	
'm',2019-11-06 22:17:26.065751	
Key.space,2019-11-06 22:17:26.248014	
'g',2019-11-06 22:17:26.418449	
'r',2019-11-06 22:17:26.508158	
'e',2019-11-06 22:17:26.602227	
'a',2019-11-06 22:17:26.820525	
't',2019-11-06 22:17:26.915803	
'.',2019-11-06 22:17:27.692819	
Key.space,2019-11-06 22:17:27.748362	
Key.shift_r,2019-11-06 22:18:13.110826	
'h',2019-11-06 22:18:13.422583	
'o',2019-11-06 22:18:13.535936	
'w',2019-11-06 22:18:13.691503	
Key.space,2019-11-06 22:18:13.891036	
'w',2019-11-06 22:18:14.050579	
'a',2019-11-06 22:18:14.216773	
's',2019-11-06 22:18:14.349793	
Key.space,2019-11-06 22:18:14.462409	
'y',2019-11-06 22:18:14.668096	
'o',2019-11-06 22:18:14.837130	
'u',2019-11-06 22:18:15.005842	
'r',2019-11-06 22:18:15.141138	
Key.space,2019-11-06 22:18:15.674619	
'd',2019-11-06 22:18:15.781259	
'y',2019-11-06 22:18:16.127122	
'a',2019-11-06 22:18:16.270192	
Key.backspace,2019-11-06 22:18:16.514013	
Key.backspace,2019-11-06 22:18:16.655990	
'a',2019-11-06 22:18:16.762922	
'y',2019-11-06 22:18:17.085930	
Key.space,2019-11-06 22:18:17.294375	
't',2019-11-06 22:18:17.362716	
'o',2019-11-06 22:18:17.508979	
'd',2019-11-06 22:18:17.813798	
'a',2019-11-06 22:18:18.010737	
'y',2019-11-06 22:18:18.111583	
Key.shift_r,2019-11-06 22:18:18.666604	
'/',2019-11-06 22:18:18.832800	
Key.enter,2019-11-06 22:18:18.962666	
Key.enter,2019-11-06 22:20:27.553191	
Key.shift_r,2019-11-06 22:20:28.710329	
'd',2019-11-06 22:20:29.003917	
'g',2019-11-06 22:20:29.099452	
'l',2019-11-06 22:20:29.158925	
'j',2019-11-06 22:20:29.161964	
'h',2019-11-06 22:20:29.285350	
's',2019-11-06 22:20:29.287358	
'h',2019-11-06 22:20:29.453888	
'u',2019-11-06 22:20:29.589428	
'g',2019-11-06 22:20:29.627306	
'h',2019-11-06 22:20:29.659631	
'u',2019-11-06 22:20:29.776640	
'r',2019-11-06 22:20:29.778714	
'd',2019-11-06 22:20:29.779761	
'u',2019-11-06 22:20:29.957694	
'r',2019-11-06 22:20:30.036631	
'h',2019-11-06 22:20:30.098243	
'r',2019-11-06 22:20:30.323068	
'f',2019-11-06 22:20:30.407962	
'h',2019-11-06 22:20:30.493063	
'h',2019-11-06 22:20:30.697132	
'f',2019-11-06 22:20:30.699351	
'r',2019-11-06 22:20:30.852709	
'h',2019-11-06 22:20:30.873369	
'f',2019-11-06 22:20:31.014223	
'h',2019-11-06 22:20:31.057623	
'r',2019-11-06 22:20:31.119039	
'u',2019-11-06 22:20:31.189481	
'h',2019-11-06 22:20:31.250995	
'g',2019-11-06 22:20:31.254068	
'r',2019-11-06 22:20:31.408896	
'h',2019-11-06 22:20:31.439394	
'g',2019-11-06 22:20:31.532500	
'u',2019-11-06 22:20:31.674146	
'r',2019-11-06 22:20:31.696968	
'u',2019-11-06 22:20:31.888124	
'r',2019-11-06 22:20:31.967720	
'h',2019-11-06 22:20:32.113928	
'g',2019-11-06 22:20:32.189046	
'j',2019-11-06 22:20:32.304012	
'h',2019-11-06 22:20:32.326786	
'r',2019-11-06 22:20:32.433046	
Key.enter,2019-11-06 22:20:33.192870	
Key.ctrl_l,2019-11-06 22:21:35.191751	
Key.ctrl_l,2019-11-06 22:21:35.821632	
Key.ctrl_l,2019-11-06 22:21:36.245837	
Key.ctrl_l,2019-11-06 22:21:36.476382	
Key.ctrl_l,2019-11-06 22:21:36.705221	
Key.ctrl_l,2019-11-06 22:21:36.938396	
Key.ctrl_l,2019-11-06 22:21:37.170209	
Key.ctrl_l,2019-11-06 22:21:37.398360	
Key.ctrl_l,2019-11-06 22:21:39.234841	
Key.backspace,2019-11-06 22:23:20.458332	
'm',2019-11-06 22:23:21.863744	
'i',2019-11-06 22:23:22.092695	
'n',2019-11-06 22:23:22.284193	
'd',2019-11-06 22:23:22.606639	
'w',2019-11-06 22:23:22.947553	
'a',2019-11-06 22:23:23.156062	
'n',2019-11-06 22:23:23.364611	
'd',2019-11-06 22:23:23.478057	
'e',2019-11-06 22:23:23.655278	
'r',2019-11-06 22:23:23.824556	
'i',2019-11-06 22:23:23.926960	
'n',2019-11-06 22:23:24.115893	
'g',2019-11-06 22:23:24.227395	
Key.enter,2019-11-06 22:23:24.900400	
Key.ctrl_l,2019-11-06 22:24:43.930516	
'x',2019-11-06 22:24:44.294020	
Key.ctrl_l,2019-11-06 22:24:49.478317	
'v',2019-11-06 22:24:49.820475	
't',2019-11-06 22:25:27.418953	
'r',2019-11-06 22:25:27.969042	
'a',2019-11-06 22:25:28.664707	
'i',2019-11-06 22:25:28.761021	
'n',2019-11-06 22:25:28.920159	
'i',2019-11-06 22:25:29.094535	
'n',2019-11-06 22:25:29.292246	
'g',2019-11-06 22:25:29.377086	
'8',2019-11-06 22:25:30.318211	
Key.enter,2019-11-06 22:25:31.832462	
Key.esc,2019-11-06 22:28:35.365282	
