Participant ID,
'd',2019-11-05 17:22:33.101458	
",",2019-11-05 17:22:33.613070	Key.space,2019-11-05 17:22:33.816560	
'r',2019-11-05 17:22:34.463348	
'e',2019-11-05 17:22:34.534092	
'a',2019-11-05 17:22:34.784069	
'l',2019-11-05 17:22:34.971523	
'y',2019-11-05 17:22:35.120756	
Key.space,2019-11-05 17:22:35.211327	
'h',2019-11-05 17:22:35.382087	
'u',2019-11-05 17:22:35.588419	
'n',2019-11-05 17:22:35.634930	
'g',2019-11-05 17:22:36.389849	
'r',2019-11-05 17:22:36.534163	
'y',2019-11-05 17:22:37.385735	
Key.space,2019-11-05 17:22:37.476193	
't',2019-11-05 17:22:37.661613	
'h',2019-11-05 17:22:37.771835	
'o',2019-11-05 17:22:38.171692	
'u',2019-11-05 17:22:38.439783	
'g',2019-11-05 17:22:38.753064	
'h',2019-11-05 17:22:38.839061	
Key.enter,2019-11-05 17:22:40.173275	
's',2019-11-05 17:23:28.074872	
'o',2019-11-05 17:23:28.364628	
'r',2019-11-05 17:23:28.756377	
'r',2019-11-05 17:23:28.890050	
'y',2019-11-05 17:23:29.007795	
Key.space,2019-11-05 17:23:29.088817	
Key.enter,2019-11-05 17:23:31.153719	
't',2019-11-05 17:23:52.405359	
'h',2019-11-05 17:23:52.624038	
'a',2019-11-05 17:23:53.106740	
'n',2019-11-05 17:23:53.270006	
'k',2019-11-05 17:23:53.510744	
's',2019-11-05 17:23:53.608501	
Key.space,2019-11-05 17:23:53.712184	
Key.shift,2019-11-05 17:23:55.035612	
';',2019-11-05 17:23:55.110774	
Key.shift,2019-11-05 17:23:55.324283	
'0',2019-11-05 17:23:55.407434	
's',2019-11-05 17:24:24.930786	
'o',2019-11-05 17:24:25.090721	
Key.space,2019-11-05 17:24:25.210814	
'w',2019-11-05 17:24:25.337657	
'h',2019-11-05 17:24:25.502402	
'a',2019-11-05 17:24:25.598147	
't',2019-11-05 17:24:25.739340	
Key.space,2019-11-05 17:24:25.826637	
'd',2019-11-05 17:24:25.967696	
'o',2019-11-05 17:24:26.088681	
Key.space,2019-11-05 17:24:26.189837	
'y',2019-11-05 17:24:26.384490	
'o',2019-11-05 17:24:26.479444	
'u',2019-11-05 17:24:26.609438	
Key.space,2019-11-05 17:24:26.692757	
'l',2019-11-05 17:24:26.829473	
'i',2019-11-05 17:24:27.006495	
'k',2019-11-05 17:24:27.138045	
'e',2019-11-05 17:24:27.198563	
Key.space,2019-11-05 17:24:27.310562	
't',2019-11-05 17:24:27.455375	
'o',2019-11-05 17:24:27.503347	
Key.space,2019-11-05 17:24:27.603763	
'd',2019-11-05 17:24:28.457487	
'o',2019-11-05 17:24:28.566883	
Key.space,2019-11-05 17:24:28.655217	
'f',2019-11-05 17:24:28.896196	
'o',2019-11-05 17:24:28.990566	
'r',2019-11-05 17:24:29.085352	
Key.space,2019-11-05 17:24:29.147325	
'f',2019-11-05 17:24:29.322191	
'u',2019-11-05 17:24:29.462994	
'n',2019-11-05 17:24:29.517499	
Key.shift,2019-11-05 17:24:30.407875	
'/',2019-11-05 17:24:30.474411	
Key.space,2019-11-05 17:24:30.678113	
Key.shift,2019-11-05 17:24:30.784292	
';',2019-11-05 17:24:30.875430	
Key.shift,2019-11-05 17:24:31.044288	
'0',2019-11-05 17:24:31.134510	
Key.backspace,2019-11-05 17:24:32.231710	
';',2019-11-05 17:24:32.509061	
Key.shift,2019-11-05 17:24:32.711047	
'0',2019-11-05 17:24:32.954160	
Key.backspace,2019-11-05 17:24:33.508657	
Key.backspace,2019-11-05 17:24:33.655315	
Key.backspace,2019-11-05 17:24:34.071937	
';',2019-11-05 17:24:34.511849	
Key.shift,2019-11-05 17:24:34.643200	
'0',2019-11-05 17:24:34.750519	
'w',2019-11-05 17:25:43.044639	
'i',2019-11-05 17:25:43.188146	
