Participant ID,004
Key.enter,2019-11-04 21:01:00.400352	
';',2019-11-04 21:01:00.509898	
Key.enter,2019-11-04 21:01:00.651926	
';',2019-11-04 21:01:00.787810	
Key.enter,2019-11-04 21:01:01.227043	
Key.enter,2019-11-04 21:01:01.385131	
Key.enter,2019-11-04 21:01:01.524745	
Key.enter,2019-11-04 21:01:01.668784	
Key.enter,2019-11-04 21:01:01.792902	
Key.enter,2019-11-04 21:01:01.893339	
Key.enter,2019-11-04 21:01:02.026241	
Key.enter,2019-11-04 21:01:36.197701	
Key.enter,2019-11-04 21:01:36.330280	
Key.enter,2019-11-04 21:01:36.459884	
Key.enter,2019-11-04 21:01:36.612600	
Key.enter,2019-11-04 21:01:50.117176	
Key.enter,2019-11-04 21:01:50.912994	
Key.ctrl_l,2019-11-04 21:02:46.425872	
Key.ctrl_l,2019-11-04 21:02:46.792053	
Key.ctrl_l,2019-11-04 21:02:47.022058	
Key.ctrl_l,2019-11-04 21:02:47.301692	
Key.ctrl_l,2019-11-04 21:02:47.591295	
Key.esc,2019-11-04 21:02:48.063139	
