Participant ID,004
Key.ctrl_l,2019-11-04 20:57:15.438323	
Key.ctrl_l,2019-11-04 20:57:15.813521	
Key.ctrl_l,2019-11-04 20:57:16.025319	
Key.ctrl_l,2019-11-04 20:57:16.239232	
Key.ctrl_l,2019-11-04 20:57:16.452397	
Key.ctrl_l,2019-11-04 20:57:16.665783	
Key.ctrl_l,2019-11-04 20:57:16.880012	
Key.ctrl_l,2019-11-04 20:57:17.093833	
Key.ctrl_l,2019-11-04 20:57:17.311388	
Key.ctrl_l,2019-11-04 20:57:17.526986	
Key.ctrl_l,2019-11-04 20:57:17.741743	
Key.ctrl_l,2019-11-04 20:57:17.955747	
Key.ctrl_l,2019-11-04 20:57:18.172130	
Key.ctrl_l,2019-11-04 20:57:18.385650	
Key.ctrl_l,2019-11-04 20:57:18.601923	
Key.ctrl_l,2019-11-04 20:57:18.819280	
Key.ctrl_l,2019-11-04 20:57:19.032968	
Key.ctrl_l,2019-11-04 20:57:19.247034	
Key.ctrl_l,2019-11-04 20:57:19.460386	
Key.ctrl_l,2019-11-04 20:57:19.675469	
Key.ctrl_l,2019-11-04 20:57:19.891753	
Key.ctrl_l,2019-11-04 20:57:20.106222	
Key.ctrl_l,2019-11-04 20:57:20.320247	
Key.ctrl_l,2019-11-04 20:57:20.533293	
Key.ctrl_l,2019-11-04 20:57:20.748985	
Key.ctrl_l,2019-11-04 20:57:20.965255	
Key.ctrl_l,2019-11-04 20:57:21.181274	
Key.enter,2019-11-04 20:58:11.439764	
Key.enter,2019-11-04 20:58:12.681452	
';',2019-11-04 20:58:12.832766	
Key.enter,2019-11-04 20:58:41.126123	
Key.enter,2019-11-04 20:58:41.367145	
Key.enter,2019-11-04 20:58:41.637896	
Key.enter,2019-11-04 20:58:41.904217	
Key.enter,2019-11-04 20:58:42.141368	
Key.enter,2019-11-04 20:58:42.371066	
Key.enter,2019-11-04 20:58:43.033097	
Key.enter,2019-11-04 20:58:43.150967	
Key.enter,2019-11-04 20:58:43.807487	
'l',2019-11-04 20:58:43.844838	
Key.enter,2019-11-04 20:58:43.993309	
'l',2019-11-04 20:58:44.095300	
Key.enter,2019-11-04 20:58:44.172876	
Key.enter,2019-11-04 20:58:44.346489	
'l',2019-11-04 20:58:44.439946	
Key.enter,2019-11-04 20:58:44.543028	
'l',2019-11-04 20:58:44.617207	
Key.enter,2019-11-04 20:58:44.700190	
'l',2019-11-04 20:58:44.795705	
Key.enter,2019-11-04 20:58:44.931043	
'l',2019-11-04 20:58:45.002978	
Key.enter,2019-11-04 20:58:45.124356	
'l',2019-11-04 20:58:45.199569	
Key.enter,2019-11-04 20:58:45.297795	
'l',2019-11-04 20:58:45.365721	
Key.enter,2019-11-04 20:58:45.454182	
'l',2019-11-04 20:58:45.528300	
Key.enter,2019-11-04 20:58:45.621077	
'l',2019-11-04 20:58:45.694741	
Key.enter,2019-11-04 20:58:45.780976	
'l',2019-11-04 20:58:45.863434	
Key.enter,2019-11-04 20:58:45.930575	
'l',2019-11-04 20:58:46.016452	
Key.enter,2019-11-04 20:58:46.088103	
'l',2019-11-04 20:58:46.165304	
Key.enter,2019-11-04 20:58:46.289362	
'l',2019-11-04 20:58:46.360116	
Key.enter,2019-11-04 20:58:46.476355	
'l',2019-11-04 20:58:46.563149	
Key.enter,2019-11-04 20:58:46.692345	
'l',2019-11-04 20:58:46.777016	
Key.enter,2019-11-04 20:58:46.912229	
'l',2019-11-04 20:58:46.991143	
Key.enter,2019-11-04 20:58:47.107473	
'l',2019-11-04 20:58:47.200614	
Key.enter,2019-11-04 20:58:47.321963	
'l',2019-11-04 20:58:47.407593	
Key.enter,2019-11-04 20:58:47.529389	
'l',2019-11-04 20:58:47.619999	
Key.enter,2019-11-04 20:58:47.748285	
Key.enter,2019-11-04 20:58:48.050202	
'l',2019-11-04 20:58:48.108315	
Key.enter,2019-11-04 20:58:48.243091	
'l',2019-11-04 20:58:48.347944	
Key.enter,2019-11-04 20:58:48.468630	
Key.enter,2019-11-04 20:58:48.761120	
'l',2019-11-04 20:58:48.915173	
Key.enter,2019-11-04 20:58:49.032527	
Key.enter,2019-11-04 20:58:52.139113	
'l',2019-11-04 20:58:52.233079	
Key.enter,2019-11-04 20:58:52.345357	
'l',2019-11-04 20:58:52.444689	
Key.enter,2019-11-04 20:58:52.518995	
Key.enter,2019-11-04 20:58:52.717771	
'l',2019-11-04 20:58:52.801970	
Key.enter,2019-11-04 20:58:52.901200	
'l',2019-11-04 20:58:52.980736	
Key.enter,2019-11-04 20:58:53.087410	
'l',2019-11-04 20:58:53.161448	
Key.enter,2019-11-04 20:58:53.276098	
'l',2019-11-04 20:58:53.352840	
Key.enter,2019-11-04 20:58:53.443524	
'l',2019-11-04 20:58:53.525464	
Key.enter,2019-11-04 20:58:53.632365	
'l',2019-11-04 20:58:53.700709	
Key.enter,2019-11-04 20:58:53.829577	
'l',2019-11-04 20:58:53.898012	
Key.enter,2019-11-04 20:58:54.017249	
'l',2019-11-04 20:58:54.097977	
Key.enter,2019-11-04 20:58:54.191568	
'l',2019-11-04 20:58:54.265592	
Key.enter,2019-11-04 20:58:54.365970	
'l',2019-11-04 20:58:54.447826	
Key.enter,2019-11-04 20:58:54.555742	
'l',2019-11-04 20:58:54.632148	
Key.enter,2019-11-04 20:58:54.734309	
'l',2019-11-04 20:58:54.814277	
Key.enter,2019-11-04 20:58:54.894519	
'l',2019-11-04 20:58:54.975287	
Key.enter,2019-11-04 20:58:55.057959	
'l',2019-11-04 20:58:55.139258	
Key.enter,2019-11-04 20:58:55.209943	
'l',2019-11-04 20:58:55.304609	
Key.enter,2019-11-04 20:58:55.381867	
'l',2019-11-04 20:58:55.460368	
Key.enter,2019-11-04 20:58:55.548423	
'l',2019-11-04 20:58:55.639597	
Key.enter,2019-11-04 20:58:55.718453	
'l',2019-11-04 20:58:55.795753	
Key.enter,2019-11-04 20:58:55.893369	
'l',2019-11-04 20:58:55.972011	
Key.enter,2019-11-04 20:58:56.083287	
'l',2019-11-04 20:58:56.152875	
Key.enter,2019-11-04 20:58:56.279131	
Key.enter,2019-11-04 20:58:56.476596	
'l',2019-11-04 20:58:56.555157	
Key.enter,2019-11-04 20:58:56.685282	
'l',2019-11-04 20:58:56.763775	
Key.enter,2019-11-04 20:58:56.880449	
'l',2019-11-04 20:58:56.964921	
Key.enter,2019-11-04 20:58:57.113852	
'l',2019-11-04 20:58:57.184399	
Key.enter,2019-11-04 20:58:57.325092	
'l',2019-11-04 20:58:57.406299	
Key.enter,2019-11-04 20:58:57.556456	
'l',2019-11-04 20:58:57.634152	
Key.enter,2019-11-04 20:58:57.796406	
'l',2019-11-04 20:58:57.875461	
Key.enter,2019-11-04 20:58:58.017873	
Key.enter,2019-11-04 20:58:58.277104	
Key.enter,2019-11-04 20:58:58.602547	
'l',2019-11-04 20:58:58.671622	
Key.enter,2019-11-04 20:58:58.874233	
'l',2019-11-04 20:58:58.975484	
Key.enter,2019-11-04 20:58:59.111230	
'l',2019-11-04 20:58:59.165387	
Key.enter,2019-11-04 20:58:59.327316	
'l',2019-11-04 20:58:59.403609	
Key.enter,2019-11-04 20:58:59.522262	
'l',2019-11-04 20:58:59.616778	
Key.enter,2019-11-04 20:58:59.762471	
'l',2019-11-04 20:58:59.824376	
Key.enter,2019-11-04 20:58:59.996504	
'l',2019-11-04 20:59:00.057686	
Key.enter,2019-11-04 20:59:00.198405	
Key.enter,2019-11-04 20:59:01.378242	
'l',2019-11-04 20:59:01.690328	
Key.enter,2019-11-04 20:59:01.833362	
'l',2019-11-04 20:59:03.114172	
Key.enter,2019-11-04 20:59:03.225775	
Key.enter,2019-11-04 20:59:04.342737	
Key.enter,2019-11-04 20:59:05.361530	
'l',2019-11-04 20:59:06.227002	
Key.enter,2019-11-04 20:59:06.313954	
'l',2019-11-04 20:59:07.433514	
Key.enter,2019-11-04 20:59:07.536056	
'l',2019-11-04 20:59:08.677352	
Key.enter,2019-11-04 20:59:08.764386	
'l',2019-11-04 20:59:10.012912	
Key.enter,2019-11-04 20:59:10.116141	
'l',2019-11-04 20:59:11.290934	
Key.enter,2019-11-04 20:59:11.382456	
'l',2019-11-04 20:59:12.539769	
Key.enter,2019-11-04 20:59:12.629988	
'l',2019-11-04 20:59:13.844844	
Key.enter,2019-11-04 20:59:13.919276	
'l',2019-11-04 20:59:14.924996	
Key.enter,2019-11-04 20:59:15.017673	
Key.enter,2019-11-04 20:59:16.142797	
'l',2019-11-04 20:59:16.601389	
Key.enter,2019-11-04 20:59:16.713347	
'l',2019-11-04 20:59:18.042378	
Key.enter,2019-11-04 20:59:18.133395	
'l',2019-11-04 20:59:19.410646	
Key.enter,2019-11-04 20:59:19.491083	
';',2019-11-04 20:59:20.770808	
Key.enter,2019-11-04 20:59:20.832390	
'l',2019-11-04 20:59:22.147270	
Key.enter,2019-11-04 20:59:22.249660	
'l',2019-11-04 20:59:23.599322	
Key.enter,2019-11-04 20:59:23.667462	
'l',2019-11-04 21:00:37.247548	
Key.enter,2019-11-04 21:00:37.341095	
Key.enter,2019-11-04 21:00:37.646080	
'l',2019-11-04 21:00:37.649075	
'l',2019-11-04 21:00:37.868589	
Key.enter,2019-11-04 21:00:38.013779	
'l',2019-11-04 21:00:38.115825	
Key.enter,2019-11-04 21:00:38.274007	
'l',2019-11-04 21:00:38.350635	
Key.enter,2019-11-04 21:00:38.473759	
'l',2019-11-04 21:00:38.549372	
Key.enter,2019-11-04 21:00:38.648610	
'l',2019-11-04 21:00:38.717387	
Key.enter,2019-11-04 21:00:38.840748	
Key.enter,2019-11-04 21:00:39.029942	
'l',2019-11-04 21:00:39.106955	
Key.enter,2019-11-04 21:00:39.225538	
'l',2019-11-04 21:00:39.299355	
Key.enter,2019-11-04 21:00:39.408931	
'l',2019-11-04 21:00:39.486534	
Key.enter,2019-11-04 21:00:39.620136	
'l',2019-11-04 21:00:39.688697	
Key.enter,2019-11-04 21:00:39.808637	
'l',2019-11-04 21:00:39.886751	
Key.enter,2019-11-04 21:00:40.004893	
'l',2019-11-04 21:00:40.074977	
Key.enter,2019-11-04 21:00:40.182697	
'l',2019-11-04 21:00:40.262184	
Key.enter,2019-11-04 21:00:40.371817	
Key.enter,2019-11-04 21:00:40.579623	
'l',2019-11-04 21:00:40.674061	
Key.enter,2019-11-04 21:00:40.800680	
Key.enter,2019-11-04 21:00:40.996180	
'l',2019-11-04 21:00:41.065787	
Key.enter,2019-11-04 21:00:41.206383	
'l',2019-11-04 21:00:41.275305	
Key.enter,2019-11-04 21:00:41.400081	
Key.enter,2019-11-04 21:00:41.617483	
Key.enter,2019-11-04 21:00:41.772707	
'l',2019-11-04 21:00:41.810365	
Key.enter,2019-11-04 21:00:41.953957	
Key.enter,2019-11-04 21:00:42.163789	
';',2019-11-04 21:00:42.203141	
Key.enter,2019-11-04 21:00:42.504782	
';',2019-11-04 21:00:42.584379	
Key.enter,2019-11-04 21:00:42.704884	
Key.enter,2019-11-04 21:00:42.898024	
';',2019-11-04 21:00:42.962412	
Key.enter,2019-11-04 21:00:43.066206	
';',2019-11-04 21:00:43.173210	
Key.enter,2019-11-04 21:00:43.731498	
';',2019-11-04 21:00:43.824814	
Key.enter,2019-11-04 21:00:43.966245	
';',2019-11-04 21:00:44.560885	
Key.enter,2019-11-04 21:00:44.741740	
Key.enter,2019-11-04 21:00:45.062149	
';',2019-11-04 21:00:45.164873	
Key.enter,2019-11-04 21:00:45.409408	
';',2019-11-04 21:00:45.646942	
Key.enter,2019-11-04 21:00:45.771832	
';',2019-11-04 21:00:45.891353	
Key.enter,2019-11-04 21:00:45.998222	
Key.enter,2019-11-04 21:00:46.322444	
';',2019-11-04 21:00:46.467586	
Key.enter,2019-11-04 21:00:46.617312	
';',2019-11-04 21:00:47.310264	
Key.enter,2019-11-04 21:00:47.437198	
';',2019-11-04 21:00:47.551665	
';',2019-11-04 21:00:49.340622	
Key.enter,2019-11-04 21:00:49.440744	
';',2019-11-04 21:00:49.550976	
Key.enter,2019-11-04 21:00:49.651420	
Key.enter,2019-11-04 21:00:49.919542	
';',2019-11-04 21:00:49.921539	
Key.enter,2019-11-04 21:00:50.122577	
';',2019-11-04 21:00:50.245919	
Key.enter,2019-11-04 21:00:50.374715	
';',2019-11-04 21:00:50.397048	
Key.enter,2019-11-04 21:00:50.558742	
';',2019-11-04 21:00:50.629318	
Key.enter,2019-11-04 21:00:50.780551	
';',2019-11-04 21:00:50.828874	
Key.enter,2019-11-04 21:00:50.990309	
Key.enter,2019-11-04 21:00:51.215739	
';',2019-11-04 21:00:51.237998	
Key.enter,2019-11-04 21:00:51.395629	
Key.enter,2019-11-04 21:00:51.637402	
Key.enter,2019-11-04 21:00:51.849354	
';',2019-11-04 21:00:51.928486	
Key.enter,2019-11-04 21:00:52.072321	
Key.enter,2019-11-04 21:00:52.305327	
Key.enter,2019-11-04 21:00:52.521948	
';',2019-11-04 21:00:52.559294	
Key.enter,2019-11-04 21:00:52.731397	
Key.enter,2019-11-04 21:00:52.972634	
Key.enter,2019-11-04 21:00:54.061371	
';',2019-11-04 21:00:54.204781	
Key.enter,2019-11-04 21:00:54.342165	
Key.enter,2019-11-04 21:00:54.524427	
';',2019-11-04 21:00:54.786089	
Key.enter,2019-11-04 21:00:54.954595	
';',2019-11-04 21:00:55.025471	
Key.enter,2019-11-04 21:00:55.181898	
';',2019-11-04 21:00:55.503914	
Key.enter,2019-11-04 21:00:55.639126	
';',2019-11-04 21:00:55.733437	
Key.enter,2019-11-04 21:00:55.868264	
';',2019-11-04 21:00:55.955864	
Key.enter,2019-11-04 21:00:56.067376	
';',2019-11-04 21:00:56.160320	
Key.enter,2019-11-04 21:00:56.279164	
';',2019-11-04 21:00:56.348940	
Key.enter,2019-11-04 21:00:56.499026	
';',2019-11-04 21:00:56.545532	
Key.enter,2019-11-04 21:00:56.690195	
';',2019-11-04 21:00:56.752731	
Key.enter,2019-11-04 21:00:56.888815	
';',2019-11-04 21:00:56.957210	
Key.enter,2019-11-04 21:00:57.063865	
';',2019-11-04 21:00:57.134199	
Key.enter,2019-11-04 21:00:57.257665	
';',2019-11-04 21:00:57.319924	
Key.enter,2019-11-04 21:00:57.455987	
Key.enter,2019-11-04 21:00:57.621333	
Key.enter,2019-11-04 21:00:57.836962	
Key.enter,2019-11-04 21:00:58.030626	
';',2019-11-04 21:00:58.085112	
Key.enter,2019-11-04 21:00:58.209978	
';',2019-11-04 21:00:58.317396	
Key.enter,2019-11-04 21:00:58.482726	
';',2019-11-04 21:00:58.669127	
';',2019-11-04 21:00:59.472950	
Key.enter,2019-11-04 21:00:59.614782	
';',2019-11-04 21:00:59.717750	
Key.enter,2019-11-04 21:00:59.852259	
Key.enter,2019-11-04 21:01:00.057345	
';',2019-11-04 21:01:00.271012	
