Participant ID,CCP2-B-I
'm',2019-11-08 15:10:01.280894	
'g',2019-11-08 15:10:01.442049	
Key.space,2019-11-08 15:10:01.513991	
'i',2019-11-08 15:10:02.047962	
Key.space,2019-11-08 15:10:02.127863	
's',2019-11-08 15:10:02.447965	
'a',2019-11-08 15:10:02.652359	
'w',2019-11-08 15:10:02.811815	
Key.space,2019-11-08 15:10:02.933840	
'i',2019-11-08 15:10:03.182666	
't',2019-11-08 15:10:03.237548	
Key.space,2019-11-08 15:10:03.323977	
's',2019-11-08 15:10:03.970091	
'n',2019-11-08 15:10:04.042696	
'o',2019-11-08 15:10:04.144138	
'w',2019-11-08 15:10:04.386663	
'e',2019-11-08 15:10:04.567821	
'd',2019-11-08 15:10:05.484645	
Key.space,2019-11-08 15:10:05.562243	
Key.caps_lock,2019-11-08 15:10:05.725100	
Key.space,2019-11-08 15:10:05.791135	
Key.backspace,2019-11-08 15:10:06.250465	
'a',2019-11-08 15:10:06.728162	
Key.space,2019-11-08 15:10:06.809987	
Key.backspace,2019-11-08 15:10:07.191337	
Key.backspace,2019-11-08 15:10:07.311013	
Key.caps_lock,2019-11-08 15:10:07.514222	
'a',2019-11-08 15:10:07.808067	
Key.space,2019-11-08 15:10:07.900267	
'l',2019-11-08 15:10:08.277846	
'i',2019-11-08 15:10:08.396311	
't',2019-11-08 15:10:08.502233	
't',2019-11-08 15:10:08.648309	
'l',2019-11-08 15:10:08.732802	
'e',2019-11-08 15:10:08.857722	
Key.space,2019-11-08 15:10:08.976897	
't',2019-11-08 15:10:09.385383	
'o',2019-11-08 15:10:09.448408	
'd',2019-11-08 15:10:09.783791	
'y',2019-11-08 15:10:10.031293	
Key.enter,2019-11-08 15:10:11.089370	
'w',2019-11-08 15:10:15.200023	
'o',2019-11-08 15:10:15.309468	
'w',2019-11-08 15:10:15.337629	
Key.space,2019-11-08 15:10:15.456397	
's',2019-11-08 15:10:18.817150	
'o',2019-11-08 15:10:18.913152	
'r',2019-11-08 15:10:19.041125	
'r',2019-11-08 15:10:19.176775	
'y',2019-11-08 15:10:19.247085	
Key.space,2019-11-08 15:10:19.319401	
'f',2019-11-08 15:10:19.943914	
'o',2019-11-08 15:10:20.030900	
'r',2019-11-08 15:10:20.128713	
Key.space,2019-11-08 15:10:20.216162	
't',2019-11-08 15:10:20.391443	
'h',2019-11-08 15:10:20.477103	
'e',2019-11-08 15:10:20.581950	
Key.space,2019-11-08 15:10:20.651865	
's',2019-11-08 15:10:21.234985	
'p',2019-11-08 15:10:21.331318	
'e',2019-11-08 15:10:21.508908	
'l',2019-11-08 15:10:21.681219	
'l',2019-11-08 15:10:21.796249	
'i',2019-11-08 15:10:22.040285	
'n',2019-11-08 15:10:22.256084	
'g',2019-11-08 15:10:22.362414	
Key.enter,2019-11-08 15:10:23.115076	
Key.shift,2019-11-08 15:10:32.502034	
'i',2019-11-08 15:10:32.591952	
'k',2019-11-08 15:10:33.035071	
Key.space,2019-11-08 15:10:33.829074	
'i',2019-11-08 15:10:34.055726	
't',2019-11-08 15:10:34.125100	
"'",2019-11-08 15:10:34.897960	
's',2019-11-08 15:10:35.010650	
Key.space,2019-11-08 15:10:35.817596	
's',2019-11-08 15:10:36.006754	
'o',2019-11-08 15:10:36.070387	
Key.space,2019-11-08 15:10:36.142345	
'p',2019-11-08 15:10:36.637521	
'r',2019-11-08 15:10:36.759052	
'e',2019-11-08 15:10:36.900818	
't',2019-11-08 15:10:37.104392	
't',2019-11-08 15:10:37.238927	
'y',2019-11-08 15:10:37.302287	
Key.shift,2019-11-08 15:10:38.427567	
'1',2019-11-08 15:10:38.483561	
Key.space,2019-11-08 15:10:43.052455	
Key.shift,2019-11-08 15:10:44.331116	
'i',2019-11-08 15:10:44.397308	
Key.space,2019-11-08 15:10:44.513528	
'h',2019-11-08 15:10:44.720752	
'o',2019-11-08 15:10:44.905764	
'p',2019-11-08 15:10:45.008375	
'e',2019-11-08 15:10:45.180911	
Key.space,2019-11-08 15:10:45.269506	
'i',2019-11-08 15:10:45.839873	
Key.backspace,2019-11-08 15:10:46.160950	
't',2019-11-08 15:10:46.570540	
'h',2019-11-08 15:10:46.639451	
'e',2019-11-08 15:10:46.735612	
Key.space,2019-11-08 15:10:46.805055	
'w',2019-11-08 15:10:47.318808	
'i',2019-11-08 15:10:47.359413	
'n',2019-11-08 15:10:47.485564	
't',2019-11-08 15:10:47.750604	
'e',2019-11-08 15:10:47.881943	
'r',2019-11-08 15:10:47.983383	
Key.space,2019-11-08 15:10:48.087597	
'i',2019-11-08 15:10:48.341502	
's',2019-11-08 15:10:48.456991	
'n',2019-11-08 15:10:48.767002	
"'",2019-11-08 15:10:49.490710	
't',2019-11-08 15:10:49.622393	
Key.space,2019-11-08 15:10:49.695445	
't',2019-11-08 15:10:50.462997	
'o',2019-11-08 15:10:50.534438	
'o',2019-11-08 15:10:50.655583	
Key.space,2019-11-08 15:10:50.755389	
'r',2019-11-08 15:10:50.922602	
'o',2019-11-08 15:10:50.976155	
'u',2019-11-08 15:10:51.054486	
'g',2019-11-08 15:10:51.267323	
'h',2019-11-08 15:10:51.369978	
Key.enter,2019-11-08 15:10:52.220071	
Key.shift,2019-11-08 15:11:21.988714	
'w',2019-11-08 15:11:22.179765	
'h',2019-11-08 15:11:22.354995	
'a',2019-11-08 15:11:22.687995	
't',2019-11-08 15:11:22.839399	
Key.space,2019-11-08 15:11:23.070264	
'a',2019-11-08 15:11:23.337375	
'r',2019-11-08 15:11:23.521965	
'e',2019-11-08 15:11:23.623858	
Key.space,2019-11-08 15:11:23.711255	
'y',2019-11-08 15:11:23.877518	
'o',2019-11-08 15:11:23.948197	
'u',2019-11-08 15:11:24.041568	
Key.space,2019-11-08 15:11:24.120898	
'd',2019-11-08 15:11:25.357956	
'o',2019-11-08 15:11:25.429685	
'i',2019-11-08 15:11:25.523369	
'n',2019-11-08 15:11:25.745253	
'g',2019-11-08 15:11:25.861032	
Key.space,2019-11-08 15:11:25.933651	
't',2019-11-08 15:11:26.070123	
'o',2019-11-08 15:11:26.149882	
'd',2019-11-08 15:11:26.478691	
'y',2019-11-08 15:11:26.768376	
Key.backspace,2019-11-08 15:11:27.347229	
'a',2019-11-08 15:11:27.952330	
'y',2019-11-08 15:11:28.048997	
Key.shift,2019-11-08 15:11:28.700022	
'/',2019-11-08 15:11:28.798796	
Key.space,2019-11-08 15:11:30.055545	
Key.shift,2019-11-08 15:11:30.505732	
